English,Spanish
the press; la prensa
the article; el artículo
the word; la palabra
the voice; la voz
the communication; la comunicación
the conversation (c..); la conversación
the language (masc.); el lenguaje
the news; la noticia
the call; la llamada
the secret; el secreto
the contact; el contacto
the shout, the scream; el grito
the message; el mensaje
the argument, the plot; el argumento
the interview; la entrevista
the advertising, the publicity; la publicidad
the internet (i..); el internet
the silence; el silencio
the stamp; la estampilla
the comment, the essay; el comentario
the postcard; la postal
the sentence, the phrase; la frase
the editorial; el editorial
