German,Vietnamese
thứ hai; monday
thứ ba; tuesday
thứ tư; wednesday
thứ năm; thursday
thứ sáu; friday
thứ bảy; saturday
chủ nhật; sunday
ngày mai; tomorrow
tháng một; january
tháng hai; february
tháng ba; march
tháng tư; april
tháng năm; may
tháng sáu; june
tháng bảy; july
tháng tám; august
tháng chín; september
tháng mười; october
tháng mười một; november
tháng mười hai; december
mỗi; every; each
tối nay; tonight
buổi sáng; morning
buổi chiều; afternoon
buổi tối; evening
lịch; calendar
ngày; day
thời gian; time
sáng; light (morning)
năm; five, year
hôm nay; today
tuần; week
tối nay; tonight
tuổi; age
giây; second (time)
không ai; nobody, no one
phút; minute
khoảnh khắc; moment
mùa; season
mùa thu; autumn
mùa hè; summer
mùa xuân; spring
mùa đông; winter
thập niên; decade
ngày sinh; birthday
thế kỷ; century; age, period
thiên niên kỷ; millennium
thế hệ; generation
