English,Spanish
"the bathroom", "el baño"
"the bed", "la cama"
"the wallet / the purse", "la cartera"
"the brush", "el cepillo"
"the kitchen", "la cocina"
"the spoon", "la cuchara"
"the knife", "el cuchillo"
"the crib", "la cuna"
"the bedroom", "el dormitorio"
"the ladder", "la escalera"
"the desk", "el escritorio"
"the mirror", "el espejo"
"the sponge", "la esponja"
"the room (h..)", "la habitación"
"the oven", "el horno"
"the soap", "el jabón"
"the lamp", "la lámpara"
"the washing machine", "la lavadora"
"to clean", "limpiar"
"the table", "la mesa"
