English;Vietnamese
hoa; flower
cây; tree; log, mast, pole, stick (classifier)
bầu trời; sky
biển; sea
Mặt Trăng; (the) Moon
Mặt Trời; (the) Sun
mưa; rain
núi lửa; volcano
lửa; fire
không khí; air
cánh đồng; field
cơn bão; storm
đất; land, soil
ngôi sao; star
thời tiết; weather
thiên nhiên; nature
sông; river
núi; mountain
rừng; forest
hòn đá; stone
rễ; root
Trái Đất; Earth
hành tinh; planet
ngọn đồi; hill
cảnh quan; landscape
ánh sáng; light
lá; leaf
khí hậu; climate
gió; wind
sóng; (a) wave
vật chất; matter
khói; smoke
môi trường; (biological) environment
cát; sand
thực vật; plant
cỏ; grass
