German,Spanish
"die Liebe", "amor"
"der Traum", "sueño"
"träumen", "soñar"
"die Lust", "el deseo, las ganas"
"der Wunsch", "el deseo"
"die Not", "necesidad"
"die Freude", "la alegría"
"das Verständnis", "comprensión, entendimiento"
"der Spaß", "la diversión"
"Spaß haben", "divertirse"
"der Ernst", "la seriedad, el aplomo, la severidad"
"der Humor", "humor"
"der Eindruck", "la impresión"
"unheimlich", "inquietante, siniestro, escalofriante"
"die Angst", "el miedo, el temor"
"der Gedanke", "la idea, el pensamiento"
"die Ruhe", "la calma"
"der Witz", "broma,chiste,gracia"
"witzig", "ingenioso,chistoso"
"das Glück", "la suerte"
