German,Spanish
"auf", "encima, sobre, en"
"für", "para"
"in", "a, en"
"an", "prendida"
"im", "in + dem"
"über", "sobre, por encima de"
"vor", "antes, delante de"
"ins", "en el"
"ohne", "sin"
"seit", "desde"
"bis", "hasta"
"zwischen", "entre"
"um", "a las, por"
"zum", "hasta la, a la, zu+dem"
"von", "de"
"neben", "al lado"
"gegen", "en contra"
"durch", "a través, por medio de"
"während", "mientras"
"außer", "excepto"
"ab", "a partir de, desde"
"ab und zu", "de vez en cuando"
"unter", "debajo, entre"
"hinter", "detrás"
"ums", "alrededor del (de la), um+das"
"aufs", "sube al, auf das"
"einschließlich", "incluyendo, incluido"
"wegen", "a causa de, debido a"
"trotz", "a pesar de"
"extra", "expresamente, especialmente"
"vom", "de la, von+dem"
"beim", "bei+dem"
"gegenüber", "en frente de (delante de), frente a (dos conceptos enfrentados)"
