German,Spanish
"wichtig", "importante"
"weiß", "blanco"
"alt", "viejo"
"teuer", "caro"
"perfekt", "perfecto"
"schön", "lindo"
"schwer", "difícil, pesado"
"kostenlos", "gratis"
"hoch", "alto"
"gesund", "sano"
"interessant", "interesante"
"voll", "lleno"
"kurz", "corto"
"frei", "libre"
"schlecht", "mal"
"genau", "exacto"
"langsam", "lento"
"neu", "nuevo"
"praktisch", "práctico"
"nützlich", "útil"
"richtig", "correcto"
"einfach", "fácil"
"klar", "claro"
"möglich", "posible"
"stark", "fuerte"
"schnell", "rápido"
"toll", "gran, formidable"
"früh", "temprano"
"kalt", "frío"
"rund", "redondo, circular"
"wahrscheinlich", "probablemente"
"gemeinsam", "juntos, común"
"fest", "Duro"
"fertig", "preparado, listo, terminado"
"positiv", "positivo"
