German,Vietnamese
thay đổi; to change
trở thành; to become
sống; to live
cho phép; to allow, give permission
đồng ý; to agree
tồn tại; to exist
tin; to believe
thành công; to succeed
thất bại; to fail
thắng; to win
cố gắng; attempt
gửi; to send ; to mail (to)
tặng; to gift to
bảo vệ; to protect
phát minh; to invent
hiểu; to understand
phân biệt; to distinguish
dừng; to stop
sản xuất; to produce
tắt; to turn off
bật; to turn on
nhìn; to look
thử thách; to challenge
giao tiếp; to communicate
thảo luận; to discuss
hôn; to kiss
ôm; to hug
xuất bản; to publish
hy vọng; to hope
trở về; to return
tìm hiểu; to get to know
đưa cho; gives
