English,Spanish
"the smile", "la sonrisa"
"love", "el amor"
"friendship", "la amistad"
"happy", "feliz"
"the tension", "la tensión"
"joy, happiness (a..)", "la alegría"
"happiness (f..)", "la felicidad"
"loneliness", "la soledad"
"hope", "la esperanza"
"the personality", "la personalidad"
"fear (m..)", "el miedo"
"the pain", "el dolor"
"the surprise", "la sorpresa"
"fear (t..)", "el temor"
"the celebration", "la celebración"
"curiosity", "la curiosidad"
"sad", "triste"
"the desire", "el deseo"
"nervous", "nervioso"
"the mood", "el humor"
"the satisfaction", "la satisfacción"
"the feeling", "el sentimiento"
"pleasure", "el placer"
