English,Spanish
"the mobile phone", "el celular"
"the car (c..)", "el coche"
"the column", "la columna"
"the computer", "la computadora"
"the cup (c..)", "la copa"
"the thing", "la cosa"
"the money", "el dinero"
"the document", "el documento"
"the dollar", "el dólar"
"the photo (..o)", "la foto"
"the source, the fountain", "la fuente"
"the list", "la lista"
"the key (l..)", "la llave"
"the suitcase", "la maleta"
"the map", "el mapa"
"the machine", "la máquina"
"the backpack", "la mochila"
"the coin, the currency", "la moneda"
"the motorcycle", "la moto"
"the motor", "el motor"
