English,Spanish
the energy; la energía
the measurement; la medida
the analysis; el análisis
the line; la línea
the dot, the period; el punto
the matter, the substance; la materia
the function; la función
science; la ciencia
the surface; la superficie
the technology; la tecnología
the concept; el concepto
the theory; la teoría
phsyics; la física
the technique; la técnica
the technician; el técnico
the element; el elemento
the speed; la velocidad
the temperature; la temperatura
the mass, the dough; la masa
