English,German
application; die Anwendung
section; die Rubrik
comparison; der Vergleich
support; die Förderung
facility; die Anlage
system; das System
criterion; das Kriterium
example; das Beispiel
loss; der Verlust
content; der Inhalt
opening; die Eröffnung
part; der Abschnitt
admission; der Eintritt
average; der Durchschnitt
share; der Anteil
edition; die Auflage
event; der Ereignis
the rest; der Rest
speed; die Geschwindigkeit
provision; die Versorgung
agency; die Agentur
level; das Niveau
surface; die Oberfläche
extent, circumference; der Umfang
introduction, idea; die Vorstellung
character; der Charakter
lecture; der Vortrag
reference; der Bezug
qualification; die Qualifikation
danger; die Gefahr
material; das Material
round; die Runde
handling; der Umgang
attempt; der Ansatz
entrance; der Eingang
conclusion; der Abschluss
cooperation; die Kooperation
show; der Schau
symbol; das Symbol
map; die Karte
