German,Vietnamese
an toàn; safe
yên tĩnh; quiet
phổ biến; popular
ven biển; coastal
duy nhất; only, sole
quý giá; valuable
tự do; freedom
bất ngờ; surprised
tư nhân; private
công; public
gần; close/near
mạnh mẽ; strong
cao; high, tall
thất vọng; disappointed
thấp; lower
cổ; neck, ancient
đau đớn; painful
sớm; early, soon
nóng; hot
lạnh; cold
bình đẳng; equal
hào phóng; generosity
tò mò; curiosity
tạm thời; temporary
sợ; fear
hiệu quả; efficient
bình tĩnh; calm
phù hợp; suitable
căng thẳng; stress
sẵn sàng; to be ready
cụ thể; specific
thích hợp; suitable
yên lặng; quiet
tàng hình; invisible
trẻ; young
