German;Spanish
die Gitarre; guitarra
das Foto; foto
die Ausstellung; exposición
die Galerie; galería
das Studio; estudio
der Musiker; músico
das Bild; imagen, pintura
die Kunst; arte
das Instrument; instrumento
das Theater; teatro
die Kultur; cultura
der Küstler; artista
malen; pintar
die Musik; música
tanzen; bailar
der Start; comienzo, inicio
das Musikinstrument; instrumento de música
die Regie; dirección (de un proyecto)
der Film; película
das Modell; modelo
der Entwurf; boceto
die Fotografie; fotografía
die Sammlung; colección
das Design; diseño
die Kritik; crítica
die Literatur; literatura
das Lied; canción
das Museum; museo
der Jazz; jazz
die Bühne; escena, escenario
der Tanz; el baile
die Mode; la moda
der Stil; estilo
das Konzert; conciertos
der Rahmen; el marco
die Kamera; cámara
das Kino; cine
die Dokumentation; documentación
die Tätigkeit; actividad
der Schauspieler; actor
