English;Vietnamese
người chiến thắng; victor
tàn phá; devastate
chủ nghĩa xã hội; socialism
xã hội chủ nghĩa; socialist
chủ nghĩa; tenet, ideology
tư bản; capitalist
nội chiến; civil war
chết; to die
xâm lược; invasion
cách mạng; revolution
di tản; evacuate
dân thường; civilian
cộng sản; communism
chiến đấu; to fight
thuộc địa; colony
thống nhất; unified
bóc lột; exploited
giai cấp công nhân; working class
bất bình đẳng; inequality
công lý; justice
tuyên truyền; propaganda
nổi dậy; revolt
dân chủ; democracy
chủ nghĩa phát xít; facism
chống lại; against
bè đảng; (political) party
cộng hoà; republic
đe doạ; to threaten
bắt giam; to imprison
người tị nạn; refugee
