German;Spanish
die Anwendung; práctica
die Rubrik; rúbrica
der Vergleich; comparación
die Förderung; fomento
die Anlage; instalación, planta
das System; sistema
die Kriterien; criterios
das Beispiel; ejemplo
der Verlust; la perdida
der Inhalt; contenido
die Eröffnung; inauguración
der Abschnitt; parte, sección
der Eintritt; entrada
der Durchschnitt; promedio
die Reparatur; reparación
der Anteil; parte, acción
die Auflage; edición, tirada
das Ereignis; evento
der Rest; resto
die Geschwindigkeit; velocidad
die Versorgung; sostenimiento, suministro
die Verpflichtung; obligación
die Tradition; tradición
die Agentur; agencia
das Niveau; nivel
die Oberfläche; superficie
der Umfang; volumen, circunferencia
die Vorstellung; presentación
der Charakter; carácter
der Vortrag; charla, conferencia
die Gewalt; violencia
der Bezug; referencia, relación (entre conceptos)
die Qualifikation; cualificación
die Gefahr; peligro
das Material; material
die Runde; ronda, partida
der Umgang; manejo, trato
die Einstellung; ajuste, opcion, actitud
der Empfang; empfang
der Ansatz; enfoque
der Eingang; entrada
der Abschluss; fin
die Kooperation; cooperación
die Schau; exposición
das Symbol; símbolo
die Karte; mapa
die Vermittlung; medicación
