English,Spanish
"the port, the harbor", "el puerto"
"the coast", "la costa"
"the room (s..) (fem.), the lounge", "la sala"
"the institution", "la institución"
"the area (á..)", "el área"
"the hospital", "el hospital"
"the nation", "la nación"
"the department, the apartment", "el departamento"
"the land", "el terreno"
"the palace", "el palacio"
"the island", "la isla"
"the town", "el pueblo"
"the territory", "el territorio"
"the building", "el edificio"
"the neighborhood", "el barrio"
"the museum", "el museo"
"the office", "la oficina"
"the park", "el parque"
"the jail", "la cárcel"
"the ranch", "la hacienda"
