English,Spanish
"the democracy", "la democracia"
"the republic", "la república"
"politics", "la política"
"the opposition", "la oposición"
"the socialist", "el socialista"
"the speech", "el discurso"
"the statement", "la declaración"
"the organism, the organization (masc.)", "el organismo"
"the mayor", "el alcalde"
"the constitution", "la constitución"
"the leader", "el líder"
"the violence", "la violencia"
"the presidency", "la presidencia"
"the budget, the estimate", "el presupuesto"
"the candidate", "el candidato"
"the strategy", "la estrategia"
"federal", "federal"
"the conflict", "el conflicto"
"the conversation, the talks (d..)", "el diálogo"
"the independence", "la independencia"
"the federation", "la federación"
"the corruption", "la corrupción"
"the cooperation", "la cooperación"
