English;Vietnamese
doanh trại; barrack
căn cứ; (military) base
chỉ huy; commander
tấn công; to attack
lính; soldier
chiến thuật; tactic, strategy
quân sự; military
vũ khí; weapon
tuyên chiến; to declare war
tù binh; prisoner
súng; gun
nhắm; to aim
đạn; bullet
quân phục; military uniform
lực lượng; force
trực thăng; helicopter
đổ bộ; to land
du kích; guerilla
phục kích; to ambush
chiến thắng; victory
trận chiến; battle
tàu chiến; warship
huy động; mobilize
vũ trang; armed
chống; against
xe; car
xe tăng; tank (military)
tiểu đoàn; battalion
thiết giáp; armored
cố thủ; to stand one&#39;s ground
tên lửa; missile
phòng thủ; to defend
không quân; air force
hạt nhân; nuclear
