German,Spanish
das Haus; casa
das Bett; cama
der Schlüssel; llave
das Sofa; sofá
der Stuhl; silla
der Tisch; mesa
die Toilette; baño
die Treppe; escalera
das Fenster; ventana
die Wohnung; vivienda
die Tür; puerta
das Bad; baño
das Licht; luz
die Lampe; lámpara
das Spielzeug; juguete
das Dach; techo
die Heizung; calefacción
der Bau; edificio
die Reinigung; limpieza
der Balkon; balcón
der Keller; sótano
die Wand; pared
das Schlafzimmer; dormitorio
das Tor; portería, gol
das Werkzeug; la herramienta
der Spiegel; espejo
das Möbelstück; mueble
das Haushaltsgerät; aparato doméstico
der Wohnort; residencia, domicilio
der Schlaf; sueño
die Tasse; taza
das Glas; vaso, copa, vidrio
der Teller; plato
der Löffel; cuchara
die Flasche; botella
das Öl; aceite
die Schüssel; el cuenco, el bol
der Leiter; el dirigente, director, conductor
die Leiter; escalera de mano
das Bettbezug; funda nórdica
der Regenschirm; paraguas
die Seife; jabón
die Zahnbürste; cepillo de dientes
die Zahnpasta; pasta de dientes
die Batterie; batería
der Umzug; mudanza
Das Gerät; El aparato
die Küche; cocina
Der Haushalt; El presupuesto
