German,Spanish
"müde", "cansado"
"der größte", "el más grande"
"öffentlich", "en público, públicamente"
"neu", "nuevo"
"letzte", "último, pasado"
"speziell", "especial"
"eigen", "intrínseco, peculiar, propio"
"höher", "más alto"
"Aktuell", "actual"
"gesamt", "completo, todo"
"kostenlos", "gratis"
"international", "internacional"
"Hohe", "alto"
"übrig", "restante, otro, demás"
"einzel", "individual"
"jugendlich", "juvenil"
"alt", "viejo"
"notwendig", "obligatorio, necesario"
"nächst", "próximo, siguiente"
"link", "izquierda"
"wichtigsten", "normal"
"europäisch", "europeo"
"extern", "externo"
"richtig", "verdadero,cierto"
"privat", "privado"
"zufällig", "casual, por casualidad"
"besondere", "especial, especialmente, particular, peculiar"
"weitere", "adicional, otro, otra"
"passende", "acertada"
"interessant", "interesante"
"voll", "lleno"
"wichtig", "importante"
