English,Spanish
two; dos
three; tres
four; cuatro
five; cinco
six; seis
seven; siete
eight; ocho
nine; nueve
ten; diez
eleven; once
twelve; doce
thirteen; trece
fourteen; catorce
fifteen; quince
twenty; veinte
thirty; treinta
forty; cuarenta
fifty; cincuenta
sixty; sesenta
seventy; setenta
the number (n..); el número
one thousand; mil
the majority; la mayoría
the meter; el metro
the pair; el par
the kilometer; el kilómetro
million; millón
the ton; la tonelada
the half; la mitad
third; tercer
double; doble
