German;Spanish
die Figur; figura
die Option; opción
der Anschluss; unión, conexión
das Prinzip; principio
die Berechnung; cálculo
die Herkunft; origen
der Sitz; puesto, silla, ubicación
die Ordnung; orden, método, sistema
der Ton; volumen, sonido
die Serie; serie, secuencia
das Merkmal; rasgo, propiedad
der Zweck; propósito, objetivo
der Austausch; intercambio
die Abteilung; departamento
die Betreuung; cuidado
die Vorbereitung; preparación
der Gegensatz; contradicción, contraste
der Lauf; curso
der Vorteil; ventaja
die Fassung; edición, versión, portalámparas
die Wertung; valoración, estimación
die Sicht; vista
das Format; formato
die Leitung; dirección, línea
die Situation; situación
die Übersicht; visión general, resumen
die Quelle; fuente
der Zusammenhang; relación, contexto
der Fall; caso, caída
die Einheit; unidad
die Entfernung; distancia
die Aufnahme; excepción
die Angabe; dato, especificación
die Wahrheit; verdad, realidad
die Linie; línea
die Ebene; nivel
die Struktur; estructura
die Reihe; fila
der Punkt; punto
die Bezeichnung; denominación, nombre
das Risiko; riesgo
der Ausdruck; expresión, término
der Standard; estándar
der Aufbau; construcción
der Schutz; protección
die Folge; consecuencia
die Möglichkeit; posibilidad
die Verantwortung; responsabilidad
der Schritt; paso
die Ansicht; vista, opinión
der Wechsel; cambio
die Breite; ancho
die Anforderung; demanda
die Aufgabe; tarea, deberes
die Tiefe; profundidad
die Seite; lado, página
die Alternative; alternativa, opción
die Richtung; rumbo
das Detail; detalle
der Eintrag; inscripción, entrada
die Ausnahme; grabación
die Grundlage; base, fundamento
die Art; especie, tipo
der Teil; parte
die Anregung; sugerencia, proposición
die Mitte; centro
die Band; el grupo (música)
das Band; cinta
der Band; el tomo
die Funktion; función
die Nutzung; uso
der Fehler; error
