German,Spanish
abgeben; entregar
wandern; caminar
springen; saborear
schicken; mandar
verwenden; utilizar
erklären; explicar
vergleichen; comparar
sammeln; coleccionar
sparen; ahorrar
kosten; costar
reichen; alcanzar
schützen; proteger
teilen; compartir
erfolgen; suceder
aktualisieren; actualizar
testen; probar
vermeiden; evitar
merken; dar cuenta de, notar
veröffentlichen; publicar
durchsuchen; cachear, registrar
lieben; amar
vorschlagen; proponer
leisten; hacer
fördern; promover
entwickeln; desarrollar
aufgeben; rendirse
nachfragen; preguntar
buchen; reservar
beantworten; responder
beachten; cumplir
bitten; pedir
senden; mandar
bieten; ofrecer
abbrechen; suspender
gehören; pertenecer
wünschen; esperar, desear
sichern; asegurar
stehen; parar, estar
erscheinen; aparecer
zitieren; citar
glauben; creer
wohnen; vivir, habitar
folgen; seguir
zahlen; pagar
einkaufen; comprar
besitzen; tener
wenden; dar
warten; esperar
anbieten; ofrecer
rufen; llamar
bewegen; mover
melden; informar, comunicar
darstellen; presentar, exponer
benötigen; necesitar (formal)
diskutieren; discutir
freuen; alegrar, festejar
wissen; saber
drucken; imprimir
erwerben; adquirir, comprar
sein; ser
würde; sería
kochen; cocinar
lesen; leer
spielen; jugar, tocar
verdienen; ganar
