la cooperación,the cooperation
acordar,to agree
el gobernador,the governor
democrático,democratic
el embajador,the ambassador
la agricultura,agriculture
el déficit,the deficit
el impuesto,the tax (i..)
presidencial,presidential
la manifestación,the demonstration, the protest
el crimen,the crime
la dictadura,the dictatorship
el imperio,the empire
la pobreza,the poverty
la estabilidad,the stability
civil,civil
el civil,the civilian
la riqueza,the wealth
el poder,the power
la legislación,the legislation
el senador,the senator
electoral,electoral
la diferencia,the difference
el arresto,the arrest
