English,Spanish
"if", "si"
"although, even though", "aunque"
"while", "mientras"
"and", "y"
"nor", "ni"
"or", "o"
"that (conj.)", "que"
"but (p..)", "pero"
"but (s..)", "sino"
"the oil", "el aceite"
"the salad", "la ensalada"
"the garlic", "el ajo"
"the butter", "la mantequilla"
"the carrot", "la zanahoria"
"the lettuce", "la lechuga"
"the grape", "la uva"
"the pineapple", "la piña"
"the cake", "el pastel"
"the banana", "el banano"
"the pepper", "la pimienta"
"the mushroom, the fungus", "el hongo"
"the tuna", "el atún"
"the corn", "el maíz"
"the turkey", "el pavo"
"the ice", "el hielo"
