English;Vietnamese
an ninh; security
luật; law
chính phủ; government
thuế; taxes
tổng thống; president
tòa án; court, tribunal
xã hội; society
đầu tư; investment
chiến tranh; war
chiến lược; strategy
phát triển; growth, development
kinh tế; economy
quân đội; military
ý kiến; opinion, idea, viewpoint
chính trị gia; politician
bỏ phiếu; vote
hòa bình; peace
chính trị; politics
tội phạm; crime, criminal
tham nhũng; corruption
công dân; citizen
cuộc bầu cử; election
quốc hội; parliament
hiến pháp; constitution
nữ hoàng; queen
chiến dịch; campaign
yêu cầu; demand
từ chức; to resign
bài diễn văn; speech
khủng hoảng; crisis
đình công; to strike
cuộc xung đột; conflict
mối đe doạ; threat
bạo lực; violence
kế hoạch; plan
thị trưởng; mayor
nghĩa vụ; duty
quyền; (civil) right
ứng cử viên; candidate
chính sách; policy
tỷ lệ; rate
nguyên nhân; cause
vua; king
hải quân; navy
phúc lợi; welfare
quyết định; to decide
bắt giữ; to arrest
quyền lực; power
sự giàu có; wealth
khủng bố; terrorism
chủ quyền; sovereignty
cơ sở hạ tầng; infrastructure
