English,German
"one", "eins"
"two", "zwei"
"three", "drei"
"four", "vier"
"five", "fünf"
"six", "sechs"
"seven", "sieben"
"eight", "acht"
"nine", "neun"
"ten", "zehn"
"twelve", "zwölf"
"first", "erst"
"billion", "die Milliarde"
"number", "die Nummer"
"pair", "das Paar"
"liter", "der Liter"
"phone number", "die Telefonnummer"
"second", "zweite"
"third", "dritte"
"sum", "die Summe"
"measurement", "das Maß"
"half", "die Hälfte"
"percent", "das Prozent"
"number, figure", "die Zahl"
"million", "die Million"
"meter", "der Meter"
"something", "etwas"
"eleven", "elf"
