English;Vietnamese
nổi bật; remarkable
chính thức; official
bất thường; unusual
tối đa; maximum
ngoan; obediant
tối thiểu; minimum
chính; main
xa; far
rộng; spacious
ổn định; stable
giận dữ; angry
xinh; pretty
cô đơn; lonesome
ghen tị; jealous
mồ côi; orphaned
tuyệt vời; great, wonderful
ngu ngốc; stupid
tuyệt đối; absolute
thật là; what, really
đáng nể; admirable
tự hào; be proud (of), take pride (in)
say; drunk
vô nghĩa; meaningless
nghiêm trọng; serious
dễ thương; cute
vinh quang; glorious
vững chắc; solid
rõ ràng; clear
lạ; strange
