English,German
"ill", "krank"
"foot", "der Fuß"
"patient", "der Patient"
"hand", "die Hand"
"disease, sickness", "die Krankheit"
"body", "der Körper"
"leg", "das Bein"
"heart", "das Herz"
"practice", "die Praxis"
"health", "die Gesundheit"
"victim", "das Opfer"
"care", "die Pflege"
"eye", "das Auge"
"analysis, investigation, examination", "die Untersuchung"
"medication, drug", "das Medikament"
"blood", "das Blut"
"clinic", "die Klinik"
"ambulance", "der Krankenwagen"
"medicine", "die Medizin"
"skin", "die Haut"
"finger", "der Finger"
"diet", "die Diät"
"therapy", "die Therapie"
"neck", "der Hals"
"form", "das Formular"
"hair", "das Haar"
"emergency", "der Notfall"
"accident", "der Unfall"
"face", "das Gesicht"
"head", "der Kopf"
"pharmacy", "die Apotheke"
"nutrition, diet", "die Ernährung"
"alcohol", "der Alkohol"
"addiction", "die Sucht"
"birth", "die Geburt"
"health insurance", "die Krankenversicherung"
