English;Vietnamese
hệ thống; system
dịch vụ; service
thiết kế; design
nhóm; group
thành viên; members
phiên bản; version
danh sách; list
tài khoản; (bank) account
hồ sơ; profile
loại; kind, sort; category; species
nội dung; content
kết quả; result
trường hợp; in case
cấp độ; level
lựa chọn; option
giải pháp; solution
thỏa thuận; agreement
ảnh hưởng; influence
giá trị; value
vấn đề; problem
tâm trí; mind
sự lựa chọn; choice
mục đích; purpose
lượt; turn
điều ước; wish
sự bảo vệ; protection
vai trò; role
niềm hy vọng; hope
bằng chứng; evidence
cơ hội; opportunity
di chúc; will, testament
giải thưởng; prize
hiện tượng; phenomenom
hành động; act
tình hình; situation
trò chơi; game
