German;Spanish
stark; fuerte
zusätzlich; además, adicionalmente
unterschiedlich; distinto, diferente
höchst; más alto
wichtig; importante
extern; externo
möglich; posible
persönlich; personalmente
offen; abierto
frei; libre
letzte; último, pasado
politisch; político
individuell; individual
sozial; social
eigen; intrínseco, peculiar, propio
schön; guapo, bonito, lindo
aktiv; activo
öffentlich; en público, públicamente
einfach; fácil
neuest; más reciente
ehemalig; anterior, de antes, ex, antiguo
jung; joven
zusätzlich; además, adicionalmente
ähnlich; similar, semejante
günstig; favorable, oportuno, propicio, ventajoso, barato
nächst; próximo, siguiente
gleich; mismo, igual
