German,Spanish
krank; enfermo
der Fuß; el pie
der Patient; el paciente
die Hand; la mano
die Krankheit; la enfermedad
der Körper; el cuerpo
das Bein; la pierna
das Herz; el corazón
die Praxis; el consultorio, la práctica
die Gesundheit; la salud
das Medikament; el medicamento
die Krankenversicherung; el seguro de enfermedad, el seguro médico
das Auge; el ojo
die Therapie; la terapia
die Medizin; la medicina
das Blut; la sangre
die Haare; el pelo
das Krankenhaus; el hospital
das Opfer; la víctima, la ofrenda/el sacrificio
der Unfall; el accidente
die Haut; la piel (del cuerpo)
das Gesicht; la cara
das Formular; el formulario
der Finger; el dedo
die Geburt; el nacimiento, parto, alumbramiento
die Untersuchung; la inspección,examen
die Sucht; la adicción
die Klinik; la clinica
die Apotheke; la farmacia
der Kopf; la cabeza
die Pflege; el cuidado, el mantenimiento, la asistencia
der Alkohol; el alcohol
die Diät; la dieta, el régimen
die Ernährung; alimentación
der Notfall; la emergencia
der Krankenwagen; la ambulancia
der Hals; cuello
