English;German
the behavior (masc.); el comportamiento
the distribution; la distribución
the shadow; la sombra
the channel, the canal; el canal
the division; la división
the continuation; la continuación
the decision; la decisión
the error; el error
the position, the place, the job (p..); el puesto
the concern; la preocupación
the perspective; la perspectiva
the factor; el factor
the mission; la misión
the fall; la caída
the effort; el esfuerzo
the margin; el margen
the session; la sesión
the motive, the reason (m..); el motivo
