German;Spanish
das Problem; problema
das Ziel; meta, fin, objetivo
die Form; forma
der Hinweis; indicación, avis
das Verhalten; comportamiento, actitud
die Lösung; solución
die Änderung; cambio, modificación
die Auswahl; selección
der Gebrauch; uso (utilización)
der Druck; la presión
die Empfehlung; recomendación
Die Weise; El método, la manera
der Nutzen; la utilidad, el provecho
die Lage; la situación, la zona, posición
das Ding; cosa
die Verpflichtung; compromiso
die Hilfe; ayuda
die Kompetenz; competencia, aptitud
die Entwickung; desarrollo
die Sicherheit; seguridad
das Ergebnis; el resultado
der Versuch; intento
die Qualität; calidad
die Zusammenarbeit; cooperación, colaboración
die Gelegenheit; oportunidad,ocasión
wertvoll; valioso
in der Nähe; cerca
