German,Vietnamese
nhà; house
ngôi; house (classifier)
sân; yard
phòng tắm; bathroom
bếp; kitchen
phòng khách; living room
sân bay; airport
thành phố; city
nhà hàng; restaurant
bãi biển; beach
khách sạn; hotel
chùa; temple, pagoda
trung tâm; town center
văn phòng; office
lâu đài; castle
nơi; place, location
nhà thờ; church
phòng ngủ; bedroom
địa chỉ; address, direction
chợ; market
khu vực; area
công viên; park
toà nhà; building
thị trấn; town
quận; district
ngân hàng; bank
đường; sugar; street, road, way
đi đường bộ; go by land
quán cà phê; coffee shop
con đường; road
nhà hát; opera house
nhà tù; prison
nông trại; farm
rạp phim; theater
quảng trường; square (open space)
bảo tàng; museum
hiệu sách; bookstore
biên giới; border
nhà ga; train station
trạm xe buýt; bus stop
vùng; region, area
trung tâm thương mại; shopping mall
bưu điện; post office
thư viện; library
tiệm bánh; bakery
bệnh viện; hospital
siêu thị; supermarket
cầu; bridge
đường hầm; tunnel
làng; village
trụ sở chính; headquarter
hang; cave
đường phố; streets
