English,Spanish
"I am (permanent)", "soy"
"you (singular) are (permanent)", "eres"
"he, she, it is; you (formal) are (permanent)", "es"
"we are (permanent)", "somos"
"you (plural), they are (permanent)", "son"
"you (plural) are (permanent)", "sois"
"I am (temporary)", "estoy"
"you (singular) are (temporary)", "estás"
"he, she, it is; you (formal) are (temporary)", "está"
"we are (temporary)", "estamos"
"you (formal), they are (temporary)", "están"
"you (plural) are (temporary)", "estáis"
