English;Spanish
the damage; el daño
the description; la descripción
the confusion; la confusión
the reaction; la reacción
the reason (r..); la razón
the alternative; la alternativa
the detail; el detalle
the responsibility; la responsabilidad
the code, the key (fem., c..); la clave
the attack; el ataque
the strength; la fuerza
the idea; la idea
the form, the way (f..); la forma
the rest, the remainder; el resto
the cause; la causa
the project; el proyecto
the figure; la figura
the place (s..); el sitio
the progress; el progreso
the part; la parte
the discipline; la disciplina
the benefit; el beneficio
