German,Spanish
war; estuvo
kam; vino
trank; bebió
ging; fue
begann; empezó, comenzó
sprach; habló
hatte; tuvo
zuvor; antes
vorher; antes
aβ; comió
sagt; dijo
wurde; llegó a ser
lag; acostó
zeigte; mostró
bevor; antes (conjunción subordinante)
schwamm; nadió
gab; dió
dacht; pensó
machte; hizo
erhielt; recibió
führte; llevó
blieb; quedó
kostete; pruebó
lieβ; dejó
schrieb; escribió
fand; encontró
wurde; llegó a ser
stellte; hizo, puso
las; leyó
nahm; cogió
sah; vio
brennen; quemar, arder
konnte; pudo
schloss; cerró
musste; tuvo que
verlor; perdió
spazierte; paseó
