English,Spanish
"the dawn", "la madrugada"
"tomorrow", "mañana"
"Tuesday", "martes"
"March", "marzo"
"May", "mayo"
"the noon", "el mediodía"
"the month", "el mes"
"Wednesday", "miércoles"
"the minute", "el minuto"
"the moment", "el momento"
"the night", "la noche"
"November", "noviembre"
"October", "octubre"
"the spring", "la primavera"
"a while", "un rato"
"Saturday", "sábado"
"the second", "el segundo"
"the week", "la semana"
"September", "septiembre"
"the season (t..)", "la temporada"
"the vacations", "las vacaciones"
"sometimes", "a veces"
"the summer", "el verano"
"once", "una vez"
"the time (v..)", "la vez"
"Friday", "viernes"
