English,Spanish
to sum, to add (s..); sumar
the history; la historia
the example; el ejemplo
the problem; el problema
the level; el nivel
the education; la educación
the school (c..); el colegio
the study, the studio; el estudio
the response; la respuesta
the title, the degree (t..); el título
the degree (g..); el grado
the material; el material
the course (c..); el curso
the chapter; el capítulo
the class; la clase
the task, the chore, the homework; la tarea
the game; el juego
the absence; la ausencia
the reading; la lectura
intelligence; la inteligencia
the section; la sección
knowledge; el conocimiento
the discussion, the argument; la discusión
the academy; la academia
the faculty; la facultad
the explanation; la explicación
the theme, the topic, the subject; el tema
the solution; la solución
the prize; el premio
