German,Vietnamese
giải quyết; to solve
nhắc đến; to mention
cải thiện; to improve
thuộc về; to belong to
di trú; to immigrate
quản lý; to administer
nhớ; to miss; to remember
chấp nhận; to accept
quên; to forget
rửa; to wash
giết; to kill
trồng; to plant
hoãn; to postpone
cầu nguyện; to pray
sụp đổ; to collapse
bao gồm; to include
tuyên bố; to declare, to announce
nhấc; to lift
lên; on
điều tra; to investigate
chạy trốn; to run away
biến mất; to disappear
núp; to hide
phát huy; to uphold
đầu hàng; to surrender
mất; to lose
ràng buộc; to constrain
buộc; to force
dự đoán; to predict
đánh giá thấp; to underestimate
đập vỡ; to break, to smash
duy trì; to maintain
sử dụng; to use
trang bị; to be equipped
hình thành; to form
biểu tình; to protest
