German,Spanish
"die Straße", "calle"
"das Schloss", "castillo"
"die Stadt", "ciudad"
"das Hotel", "hotel"
"der Flughafen", "aeropuerto"
"das Land", "país"
"der Osten", "Este"
"das Zimmer", "cuarto"
"links", "a la izquierda"
"rechts", "a la derecha"
"Europa", "Europa"
"der Norden", "Norte"
"das Restaurant", "restaurant"
"das Ausland", "extranjero"
"der Platz", "plaza"
"der Grund", "suelo, base, razón"
"die Heimat", "tierra natal, hogar, patria"
"der Bereich", "la zona"
"der Ort", "lugar"
"die Zentrale", "central"
"der Ring", "anillo"
"entlang", "a través, a lo largo de (preposición en Akusativ) [detrás del sust. o pron.; excepción]"
"der Bezirk", "el barrio, el distrito"
"der Bahnhof", "la estación (de tren)"
"die City", "el centro de la ciudad"
"der West", "el oeste"
"die Bar", "el bar"
"das Ferienhaus", "casa de verano"
"die Station", "la estación"
"die Innere", "el interior"
"der Hof", "patio"
"Die Umgebung", "las cercanías, los alrededores, el entorno"
"die Fläche", "el plano, el área, la cara"
"das Zentrum", "el centro {Z}"
"das Gründstück", "terreno, propriedad"
"die Insel", "la isla"
"der Süden", "el sur"
"der Unterkunft", "el alojamiento"
"der Landkreis", "distrito"
"die Region", "region"
"der Standort", "ubicación, sede, localidad"
"das Bundesland", "estado federado, provincia"
"das Dorf", "pueblo"
"die Pension", "pensión, hostal, casa de huéspedes"
"das Gebäude", "edificio"
"die Halle", "la nave, el pabellón, la sala"
"der Park", "parque"
"der Club", "club"
"die Brücke", "puente"
