German,Spanish
"die Kenntnisse", "conocimientos"
"die Landwirtschaft", "agricultura"
"die Energie", "energía"
"die Physik", "física"
"die Erfindung", "invención"
"die Temperatur", "temperatura"
"die Definition", "definición"
"die Mathematik", "matemáticas"
"der Kunststoff", "plástico"
"das Grad", "grado"
"das Praktikum", "die Analyse"
"die Theorie", "teoría"
"die Wissenschaft", "ciencia"
"das Glas", "vidrio"
"die Studie", "estudio"
"die Philosophie", "filosofía"
"die Wissen", "conocimiento"
"die Biologie", "biología"
"die Technik", "método, tecnología"
"die Statistik", "estadistica"
"die Maschine", "máquina"
"das Gas", "gas"
"der Motor", "motor"
"die Methode", "método"
"der Diesel", "gasolina"
"die Nachweis", "prueba, comprobación"
"die Achtung", "atención, cuidado"
