English,German
"important", "wichtig"
"white", "weiß"
"old", "alt"
"expensive", "teuer"
"perfect", "perfekt"
"nice", "schön"
"difficult, heavy", "schwer"
"free", "kostenlos"
"high", "hoch"
"healthy", "gesund"
"interesting", "interessant"
"full", "voll"
"short", "kurz"
"free", "frei"
"bad", "schlecht"
"normal", "normal"
"exactly", "genau"
"slow", "langsam"
"new", "neu"
"practical", "praktisch"
"useful", "nützlich"
"correct", "richtig"
"easy, simple", "einfach"
"transparent", "klar"
"possible", "möglich"
"positive", "positiv"
"strong", "stark"
"fast", "schnell"
"great", "toll"
"early", "früh"
"cold", "kalt"
"round", "rund"
"probable", "wahrscheinlich"
"common, mutual", "gemeinsam"
"solid", "fest"
"ready", "fertig"
