German,Spanish
"die Zeitung", "periódico"
"der Brief", "carta"
"der Fernseher", "televisor"
"die Notiz", "nota, noticia"
"die Nachricht", "noticias, mensaje"
"die Zeitschrift", "revista"
"das Fernsehen", "televisión (concepto)"
"der Telefon", "teléfono"
"das Radio", "radio"
"die Adresse", "direccíon"
"die Kommunikation", "comunicación"
"die Bestätigung", "confirmación, comprobación"
"der Computer", "ordenador, computadora"
"das Internet", "internet"
"die Internetseite", "página web, sitio web"
"die Suche", "búsqueda"
"der Profil", "perfil"
"die Taste", "tecla"
"das Kennwort", "clave, contraseña"
"die Festplatte", "disco duro"
"der Monitor", "monitor"
"die Tastatur", "teclado"
"das Email", "correo electrónico"
"das Netzwerk", "red"
"die Suchmaschine", "buscador, motor de búsqueda"
"der Netz", "red"
"die Rede", "discurso"
"die Sendung", "programa, transmisión"
"die Diskussion", "discusión, debate"
"die Information", "información"
"der Dialog", "diálogo"
"der Anhang", "apéndice, anexo"
"die Medien", "medios de comunicación (pl.)"
"die Auskunft", "información"
"der Kommentar", "comentario"
"die Vorwahl", "prefijo"
"die Mitteilung", "noticia, aviso"
"die Anrede", "saludo, tratamiento"
"der Kabel", "cable"
"der Sender", "transmisor, estación"
"der Lautsprecher", "altavoz"
"das Papier", "papel"
"das Postfach", "apartado postal"
"das Gespräch", "conversación, charla"
"das Taschenbuch", "libro de bolsillo"
"das Telefonbuch", "guía telefónica"
"das Interview", "entrevista"
"die Theme", "tema, asunto"
"der Merkzettel", "nota, apunte"
"das Gruß", "saludo"
"die Begründung", "motivo, causa"
"die Presse", "la prensa"
"der Kontakt", "contacto"
"die Briefmarke", "estampilla, sello postal"
"die Meldung", "noticia, aviso, información"
"die Postleitzahl", "código postal"
"die Einladung", "invitación"
"die Post", "correo, oficina de correos"
"das Handy", "móvil, celular"
"die Datenbank", "banco de datos"
"die Anmeldung", "registro, inscripción"
"der Rechner", "calculadora"
"die Postkarte", "tarjeta postal"
