English,Spanish
"then (e..)", "entonces"
"especially", "especialmente"
"exactly", "exactamente"
"easily", "fácilmente"
"general", "general"
"usually", "generalmente"
"equally, likewise", "igualmente"
"immediately", "inmediatamente"
"never (j..)", "jamás"
"slowly (l..)", "lentamente"
"then, later (l..)", "luego"
"more", "más"
"less", "menos"
"very", "muy"
"naturally", "naturalmente"
"necessarily", "necesariamente"
"normally", "normalmente"
"again", "nuevamente"
"never (n..)", "nunca"
"perfectly", "perfectamente"
"possibly", "posiblemente"
"practically", "prácticamente"
"principally", "principalmente"
"probably", "probablemente"
"soon", "pronto"
"far", "lejos"
