German,Spanish
"und", "y (conjunción coordinante)"
"oder", "o (conjunción coordinante)"
"wie", "como (conjunción subordinante)"
"wenn", "en el caso de que, si, siempre que [condicional] (conjunción subordinante)"
"sowie", "tan pronto como (conjunción subordinante) {sow}"
"solange", "mientras que, en tanto que, con tal de que"
"entweder... oder", "o... o (conjunción subordinante)"
"obwohl", "a pesar de, aunque (conjunción subordninante)"
"noch", "todavía"
"sobald", "en cuanto, tan pronto como (conjunción subordinante)"
"sofern", "siempre y cuando (conjunción subordinante)"
"nachdem", "después"
"aber", "pero (Conjunción coordinante)"
"da", "allá"
