English,Spanish
the lawyer; el abogado
the actor; el actor
the agent; el agente
the artist; el artista
the athlete; el atleta
the author; el autor
the cashier; el cajero
the captain; el capitán
the carpenter; el carpintero
the cook; el cocinero
the commander; el comandante
the driver; el conductor
the colonel; el coronel
the doctor (d..); el doctor
the owner; el dueño
the employee; el empleado
the businessman; el empresario
the nurse; el enfermero
the specialty; la especialidad
the specialist; el especialista
the student; el estudiante
