English,Spanish
"the method", "el método"
"the volume", "el volumen"
"philosophy", "la filosofía"
"the thesis", "la tesis"
"the balance", "el equilibrio"
"the border, the limit", "el límite"
"the formula", "la fórmula"
"the scientist", "el científico"
"the average", "el promedio"
"the substance", "la sustancia"
"the atmosphere (fem.)", "la atmósfera"
"chemistry", "la química"
"the chemist", "el químico"
"the nucleus", "el núcleo"
"the laboratory", "el laboratorio"
"the proportion", "la proporción"
"the discovery", "el descubrimiento"
"the observation", "la observación"
"the depth", "la profundidad"
