English;German
meaning; die Bedeutung
idea; die Idee
dictionary; das Wörterbuch
conversation; die Unterhaltung
language; die Sprache
handbook, textbook; das Handbuch
story, history; die Geschichte
summary; die Zusammenfassung
agreement, consent; die Zustimmung
text; der Text
to report (in a newspaper); berichten
title; der Titel
draft, notes; das Konzept
opinion; die Meinung
explanation; die Erklärung
translation; die Übersetzung
sign; das Zeichen
chapter; das Kapitel
list, catalogue, index; das Verzeichnis
concept; der Begriff
sentence; der Satz
description; die Beschreibung
