German,Spanish
das Auto; el carro, el coche
Deutschland; alemania
Wien; Viena
Österreich; Austria
der Zug; el tren
das Bus; el autobús
das Pass; el pasaporte
Hamburg; Hamburgo
Afrika; Africa
das Fahrzeug; el vehículo
Bayern; Baviera
die Reise; el viaje
die Sehenswürdigkeiten; atracciones turísticos, lugares de interés
Großbritannien; Gran Bretaña
Frankreich; Francia
der Flug; el vuelo
der Stadtplan; el mapa (de la ciudad)
der Tourismus; el turísmo
der Weg; el camino
die Schweiz; Suiza
Spanien; España
die Fahrt; el viaje
der Mietwagen; el auto de alquiler
Italien; Italia
der Verkehr; el tráfico
die Strecke; la distancia, el trayecto
die Tour; el tour, la gira
die Bahn; la via, el tren, el ferrocarril
die Ferien; las vacaciones
der Transport; el transporte
der Besuch; la visita
Schweden; Suecia
der Rat; el consejo, el guía
die Bushaltestelle; la parada de autobuses
Das Abenteuer; La aventura
Schweizer; Suizo
Der Ratgeber; El consejero
