German,Spanish
"das Wasser", "el agua"
"das Meer", "mar"
"der Garten", "el jardín"
"der Strand", "la playa"
"die Wiese", "prado"
"die Blume", "flor"
"der Regen", "lluvia"
"der Baum", "el árbol"
"der Berg", "montaña"
"die Welt", "mundo"
"die Sonne", "sol"
"das Metall", "metal"
"die Tierwelt", "la fauna, el mundo animal"
"Der Himmel", "el cielo"
"Das Gras", "La hierba"
"die Natur", "la naturaleza"
"das All", "el espacio"
"der See", "lago"
"der Wald", "bosque"
"das Feuer", "el fuego"
"der Mond", "luna"
"die Pflanze", "planta"
"Das Klima", "El clima"
"die Luft", "el aire"
"der Strom", "la luz (corriente eléctrica)"
"der Stern", "estrella"
"das Wetter", "clima, tiempo, horaje"
"die Chemie", "química"
"die Erde", "la tierra"
"die Atmosphäre", "atmósfera"
"die Umwelt", "El entorno, el medio ambiente"
"der Stein", "la piedra"
"das Holz", "la madera"
"der Rhein", "el Rin"
"der Wind", "viento"
"das Gold", "oro"
"der Stahl", "acero"
