English;Vietnamese
học sinh; student
bác sĩ; doctor
nghề nghiệp; occupation
giáo viên; teacher
nghệ sĩ; artist
nhạc sĩ; musician
thư ký; secretary
luật sư; lawyer
công nhân; worker
sự nghiệp; career
cảnh sát; police
thuyền trưởng; captain
diễn viên; actor
ca sĩ; singer
kế toán; accountant
doanh nhân; entrepreneur
ngư dân; fisherman
kỹ sư; engineer
nông dân; farmer
đầu bếp; cook (profession)
kiến trúc sư; architect
nha sĩ; dentist
y tá; nurse
diễn viên hài; comedian
nhà thiết kế; designer
nhà khoa học; scientist
nhà toán học; mathematician
nhà báo; journalist
nhà sư; monk
nhà lãnh đạo; leader
