la cola,the tail, the line, the glue
la aventura,the adventure
la cantidad,the amount
la variedad,the variety
el transporte,the transportation
la oportunidad,the opportunity
la oscuridad,the darkness
la disminución,the decrease
la conclusión,the conclusion
la opción,the option
la conservación,the conservation
el permiso,the permission
el panorama,the panorama
la destrucción,the destruction
el símbolo,the symbol
el rival,the rival
la igualdad,the equality
la revisión,the revision, the inspection
el escándalo,the scandal
el perfil,the profile
el bienestar,the well-being
la fama,the fame
la identificación,the identification
la manera,the way, the manner (m..)
