English,German
"problem", "das Problem"
"goal", "das Ziel"
"form, shape", "die Form"
"tip, hint, instruction", "der Hinweis"
"behavior", "das Verhalten"
"answer, solution", "die Lösung"
"change", "die Änderung"
"choice", "die Auswahl"
"use, application", "der Gebrauch"
"pressure", "der Druck"
"recommendation", "die Empfehlung"
"way", "die Weise"
"to use", "nutzen"
"position", "die Lage"
"thing", "das Ding"
"involvement, engagement", "das Engagement"
"help", "die Hilfe"
"competence, power", "die Kompetenz"
"development", "die Entwicklung"
"result", "das Ergebnis"
"attempt", "der Versuch"
"quality", "die Qualität"
"collaboration, cooperation", "die Zusammenarbeit"
"opportunity", "die Gelegenheit"
"worthwhile", "wertvoll"
