English;German
to agree; acordar
the governor; el gobernador
democratic; democrático
the ambassador; el embajador
agriculture; la agricultura
the deficit; el déficit
the tax (i..); el impuesto
presidential; presidencial
the demonstration, the protest; la manifestación
the crime; el crimen
the dictatorship; la dictadura
the empire; el imperio
the poverty; la pobreza
the stability; la estabilidad
civil; civil
the civilian; el civil
the wealth; la riqueza
the power; el poder
the legislation; la legislación
the senator; el senador
electoral; electoral
the difference; la diferencia
the arrest; el arresto
