English;Spanish
the farmer; el granjero
the guard; el guardia
the engineer; el ingeniero
the boss; el jefe
the judge; el juez
the teacher; el maestro
the waiter; el mesero
the baker; el panadero
the journalist; el periodista
the painter; el pintor
the poet; el poeta
the police; la policía
the prince; el príncipe
the profession; la profesión
the professor; el profesor
the king; el rey
the queen; la reina
the priest; el sacerdote
the secretary; el secretario
the soldier; el soldado
the job; el trabajo
