English,Spanish
the friend; el amigo
the person; la persona
the people; la gente
Mrs.; señora
the population; la población
the culture; la cultura
the worker; el trabajador
the revolution; la revolución
the citizen; el ciudadano
the neighbor; el vecino
the colleague, the partner; el compañero
the audience; la audiencia
the couple; la pareja
the marriage; el matrimonio
the victim; la victima
the individual; el individuo
the tourism; el turismo
the humanity; la humanidad
the enemy; el enemigo
the custom, the habit; la costumbre
the girl (c..); la chica
the peasant; el campesino
the fair; la feria
the gentleman; el caballero
the witness; el testigo
the adult; el adulto
