German;Spanish
ich werde; voy a
du wirst; vas a
er wird; va a
werden; vamos a, van a
essen; comer
gehen; ir
wohnen; vivir en un lugar (habitar)
kosten; costar, probar
lieben; amar
wissen; saber
Berlin; Berlín
Kanada; Canadá
anbieten; ofrecer
prüfen; probar, chequear
aufgeben; renunciar, rendirse
beantworten; responder, contestar
erfolgen; pasar, suceder
folgen; seguir
vergessen; olvidar
behalten; guardar, quedarse con
merken; notar,reparar en
sparen; ahorrar
verdienen; ganar, merecer
wünschen; desear
testen; probar, examinar
sprechen; hablar
bleiben; permanecer, quedarse
wirken; tener efecto
vorschlagen; recomendar, proponer
vergeben; perdonar
benötigen; necesitar (formal)
verlassen; dejar
beraten; decir, aconsejar
wenden; dar una vuelta, girar
nachfragen; preguntar, averiguar
lösen; resolver
handeln; actuar
installieren; instalar
abbrechen; suspender, cancelar, cortar
wechseln; cambiar
zitieren; citar
unterstützen; apoyar
schauen; mirar
rufen; llamar (por teléfono)
erklären; explicar
erweitern; agrandar, ampliar
reden; hablar
erscheinen; aparecer, presentar
zählen; contar
gehören; pertenecer
teilen; dividir, compartir
erwerben; adquirir
bieten; ofrecer
verwenden; usar
schützen; proteger
erwarten; esperar
herunterladen; descargar
warten; esperar
sichern; aseguarar, proteger
stehen; estar de pie
einstellen; dar empleo
