German,Spanish
der Lehrer; el profesor
der Arzt; el médico, el doctor
der Schüler; el alumno, el estudiante
der Richter; el juez
der Student; el universitario
der alte Mann; el anciano
der Autor; el autor
der Trainer; entrenador
der Händler; el negociante, el comerciante, el vendedor
der Meister; el maestro, el experto
der Geschäftsführer; el gerente
der Professor; el profesor
die Professorin; la profesora
der Arbeitgeber; el patrón, el empleador
der Leiter; el director, el jefe
der Bürgermeister; el alcalde
der Architekt; el arquitecto
der Bauer; el campesino, el agricultor
der Schneider; el sastre
der Hersteller; el productor, el fabricante
der Mitarbeiter; el empleado, el colaborador
der Verkäufer; el vendedor
der Fahrer; el conductor, el chófer
der Teilnehmer; el participante
die Feuerwehr; los bomberos, el cuerpo de bomberos
der Experte; el experto
der Beruf; el oficio, la profesión
der Rechtsanwalt; el abogado
der Verfasser; el escritor, el autor
der Betreiber; el operador
der Empfänger; el receptor, el destinatario
der Arbeitnehmer; el trabajador, el empleado
die Bedienung; el servicio
die Werkstatt; el taller
das Handwerk; la artesanía
der Weber; el tejedor
der Koch; el cocinero
der Reiseführer; el guía turístico
der Entwickler; el desarrollador
die Spezialität; la especialidad
Die Lehrerin; La maestra
Die Ärztin; La doctora
Die Schülerin; La alumna
