German,Vietnamese
bàn tay; hand
bệnh; Sick
sức khoẻ; health
cơ thể; body
chăm sóc; to care for, to take care of
sự điều trị; treatment
cảm cúm; flu
ung thư; cancer
mặt; face
đầu; head
khuôn; face
thuốc; medicine
trường hợp khẩn cấp; emergency
chữa; cure
trái tim; heart
máu; blood
bệnh nhân; patient
xe cấp cứu; ambulance
dịch bệnh; plague
mái tóc; hair
lây lan; to spread
làn da; skin
mắt; eye
chế độ ăn kiêng; diet
bàn chân; feet
đau; pain
thị lực; eyesight
não; brain
miệng; mouth
cánh tay; arm
cẳng chân; leg
cổ; neck, ancient
chấn thương; injured
ngón tay; finger
tai; ear
ngực; chest
răng; tooth
lưỡi; tongue
khám bệnh; to examine (medically)
mũi; nose
lưng; back
cuộc hẹn; appointment
gãy; to break
kiểm tra; to check, checkup
bác sĩ thú y; veteranarian
