English;German
the left; la izquierda
the right (direction); la derecha
the side; el lado
the center; el centro
the position; la posición
the entrance; la entrada
the outside; el exterior
the exit; la salida
the arrival; la llegada
the search; la búsqueda
the traffic; el tráfico
the orientation; la orientación
the trip, the journey; el viaje
the end (f..); el fin
the direction, the address; la dirección
the sign, the signal (fem.); la señal
the course (r..); el rumbo
the north; el norte
the south; el sur
the step; el paso
