English;Vietnamese
cứu; to save
thu hút; to attract
xây; to build
chọn; to choose
đăng ký; to register
sửa; to repair
khắc phục; to overcome
ước; to wish
hết hạn; to expire
mơ; to dream
chứa; to contain
kéo dài; to last
dạy; to teach
liệt kê; to list
dậy; to get up
thức khuya; to stay up late
toả sáng; to shine
đầu tư; to invest
nổ; to explode, to brag
kiểm soát; to control
gia nhập; to join
trở nên; to become
chứng minh; to prove
chuẩn bị; to prepare
bắt nguồn; to originate
tham gia; to join
lan truyền; to spread
xảy ra; to happen
chạm; to touch
đại diện; to represent
chỉ trích; to criticize
